Product_name,Product_url,Product_stock,Product_price,Product_skus,Product_last_sync
Cloud 5 Combo,https://www.on-running.com/en-ch/products/cloud-5-combo-79/mens/leaf-eclipse-shoes-79.98228,3,200.0,"79.98850,79.98846,79.98228",2023-08-09T08:20:06.218Z
Cloudnova Void,https://www.on-running.com/en-ch/products/cloudnova-void-3md1218/mens/eclipse-undyed-white-shoes-3MD12181106,3,220.0,"3WD12191106,3MD12181105,3WD12190865,3MD12181106",2023-08-09T08:20:07.580Z
Cloudaway,https://www.on-running.com/en-ch/products/cloudaway-49/womens/undyed-white-glacier-shoes-49.98304,3,200.0,"49.99129,49.99134,49.98475,49.98469,49.98304",2023-08-09T08:20:06.067Z
THE ROGER Clubhouse Mid,https://www.on-running.com/en-ch/products/the-roger-clubhouse-mid-98/mens/white-sand-shoes-98.98328,3,230.0,"98.98498,98.98501,98.98328,98.98327",2023-08-09T08:19:45.682Z
Cloud 5 Waterproof,https://www.on-running.com/en-ch/products/cloud-5-waterproof-59wp/mens/cobalt-glacier-shoes-59.98345,3,220.0,"59.98840,59.98842,59.98841,59.98837,59.98838,59.98836,59.98529,59.98527,59.98345,59.98344",2023-08-09T08:20:05.278Z
Cloud 5 Push,https://www.on-running.com/en-ch/products/cloud-5-push-69/mens/undyed-white-glacier-shoes-69.98356,3,200.0,"69.98866,69.98354,69.98356",2023-08-09T08:20:05.119Z
Movement Crop,https://www.on-running.com/en-ch/products/movement-crop-1wd1011/womens/black-apparel-1WD10110553,2,80.0,1WD10110553,2023-08-09T08:19:55.543Z
Race Crop,https://www.on-running.com/en-ch/products/race-crop-1wd1001/womens/black-shadow-apparel-1WD10010545,2,90.0,"1WD10010870,1WD10010545",2023-08-09T08:20:44.291Z
Movement Pants,https://www.on-running.com/en-ch/products/movement-pants-1md1014/mens/black-apparel-1MD10140553,3,150.0,"1MD10140858,1MD10140553",2023-08-09T08:19:56.591Z
Active-T,https://www.on-running.com/en-ch/products/active-t-122/mens/grey-apparel-122.01065,3,90.0,"122.00139,122.01066,122.01065",2023-08-09T08:20:02.664Z
Running Pants,https://www.on-running.com/en-ch/products/running-pants-106/mens/ivy-shadow-apparel-106.01047,3,200.0,"106.00137,206.00253,106.01047,206.01048",2023-08-09T08:20:45.320Z
On-T,https://www.on-running.com/en-ch/products/on-t-1md1020/mens/grey-apparel-1MD10200423,3,75.0,"1MD10200488,1MD10200069,1WD10320553,1WD10320423,1WD10320009,1WD10320069,1MD10200553,1MD10200423",2023-08-09T08:19:59.324Z
Merino-T,https://www.on-running.com/en-ch/products/merino-t-251/mens/stellar-apparel-151.01087,3,110.0,151.01087,2023-08-09T08:19:53.699Z
Active Tank,https://www.on-running.com/en-ch/products/active-tank-228/womens/black-apparel-228.01069,2,80.0,"228.00448,228.01069",2023-08-09T08:19:54.536Z
Zipped Hoodie,https://www.on-running.com/en-ch/products/zipped-hoodie-239/mens/grey-apparel-139.01133,2,200.0,"239.00987,139.00984,239.01082,239.01134,139.01133,139.01081",2023-08-09T08:20:46.793Z
Explorer Shorts,https://www.on-running.com/en-ch/products/explorer-shorts-175/womens/taiga-apparel-275.01102,1,180.0,"275.00810,175.00809,275.01102,175.01101",2023-08-09T08:19:59.863Z
Active-T Breathe,https://www.on-running.com/en-ch/products/active-t-breathe-232/womens/moss-apparel-232.01067,2,90.0,232.01067,2023-08-09T08:20:01.027Z
Cloudtrax Waterproof,https://www.on-running.com/en-ch/products/cloudtrax-waterproof-3md1087/mens/black-shoes-3MD10870553,3,270.0,"3MD10871099,3MD10870553,3WD10880553,3WD10881099",2023-08-09T08:19:48.786Z
THE ROGER Pro Clay,https://www.on-running.com/en-ch/products/the-roger-pro-clay-48PROCLAY/mens/clay-white-flame-shoes-3MD10720256,2,270.0,"3WD10601533,3MD10720256",2023-08-09T08:20:54.370Z
Cloudflyer 4 Wide,https://www.on-running.com/en-ch/products/cloudflyer-4-wide-81/mens/black-white-shoes-81.98664,3,230.0,"81.98663,81.98664",2023-08-09T08:19:32.253Z
Cloud 5 Fuse,https://www.on-running.com/en-ch/products/cloud-5-fuse-68/mens/storm-chambray-shoes-68.98807,3,190.0,"68.98807,68.98763",2023-08-09T08:19:27.189Z
Cloudmonster Lumos,https://www.on-running.com/en-ch/products/cloudmonster-lumos-62/mens/black-shoes-62.98394,2,240.0,"62.98394,62.98393",2023-08-09T08:19:23.214Z
Lumos Beanie,https://www.on-running.com/en-ch/products/lumos-beanie-373/unisex/black-accessories-373.00974,3,45.0,373.00974,2023-08-09T08:19:44.545Z
Zero Cap,https://www.on-running.com/en-ch/products/zero-cap-333/unisex/black-accessories-333.00963,3,60.0,333.00963,2023-08-09T08:18:47.867Z
Cloud 5 Terry,https://www.on-running.com/en-ch/products/cloud-5-terry-99/womens/glacier-lunar-shoes-99.98825,2,210.0,"99.98826,99.98828,99.98829,99.98825,99.98824",2023-08-09T08:19:12.760Z
Switch Jacket,https://www.on-running.com/en-ch/products/switch-jacket-220/womens/black-white-apparel-220.00745,2,385.0,"220.00745,120.00743",2023-08-09T08:19:06.877Z
Active Pants,https://www.on-running.com/en-ch/products/active-pants-136/womens/navy-apparel-256.00784,3,190.0,"136.00319,136.00086,256.00274,256.00784",2023-08-09T08:19:00.704Z
Explorer Pants,https://www.on-running.com/en-ch/products/explorer-pants-176/mens/black-apparel-176.00796,2,220.0,"276.00797,176.00796",2023-08-09T08:18:57.334Z
Cloudneo,https://www.on-running.com/en-ch/products/cloudneo-42cloudneo/mens/undyed-shoes-42.98711,3,0.0,"42.98711,42.98709",2023-08-09T08:18:44.315Z
Tennis Sock,https://www.on-running.com/en-ch/products/tennis-sock-376/mens/white-mustard-accessories-376.00886,3,30.0,"376.00885,376.00886,376.00883,376.00884,377.00891,377.00888,377.00887,377.00889",2023-08-09T08:18:28.895Z
OFF Magazine,https://www.on-running.com/en-ch/products/off-magazine-999/unisex/issue-02-magazine-999.01292,3,18.0,"999.00991,999.01292",2023-08-09T08:18:44.194Z
Ultralight Low Sock,https://www.on-running.com/en-ch/products/ultralight-low-sock-346/womens/white-black-accessories-347.00865,3,30.0,"346.00864,346.00863,347.00865,347.00866",2023-08-09T08:18:22.752Z
Ultralight Mid Sock,https://www.on-running.com/en-ch/products/ultralight-mid-sock-356/mens/white-black-accessories-356.00867,3,33.0,"356.00868,356.00867,357.00869,357.00871",2023-08-09T08:18:23.641Z
Lightweight Pants,https://www.on-running.com/en-ch/products/lightweight-pants-236/womens/black-apparel-236.00707,3,150.0,"236.00249,236.00707",2023-08-09T08:18:15.908Z
Weather Vest,https://www.on-running.com/en-ch/products/weather-vest-110/womens/black-apparel-210.00242,3,220.0,"110.4005,210.00242",2023-08-09T08:17:02.689Z
Digital Gift Card,https://www.on-running.com/en-ch/products/digital-gift-card-907644gc/unisex/design-4-gift_cards-907668-master,3,10.0,"907644-master,907668-master,907652-master,907660-master,907692-master",2023-08-09T08:16:36.387Z
Merino Beanie,https://www.on-running.com/en-ch/products/merino-beanie-311/unisex/white-accessories-311.00222,3,60.0,"311.00218,311.00219,311.00222",2023-08-09T08:16:15.567Z
Race Shorts,https://www.on-running.com/en-ch/products/race-shorts-115/womens/black-apparel-215.00132,3,100.0,"115.00131,215.00132",2023-08-09T08:16:07.487Z
