Product_name,Product_url,Product_stock,Product_price,Product_skus,Product_last_sync
Weather Jacket,https://www.on-running.com/en-ch/products/weather-jacket-204/mens/taiga-shadow-apparel-104.01321,2,290.0,"104.4005,204.00248,104.01029,204.01031,104.01321",2023-08-09T06:21:51.533Z
THE ROGER Pro,https://www.on-running.com/en-ch/products/the-roger-pro-48pro/mens/white-acai-shoes-48.98028,3,270.0,"48.98721,48.98720,3MD10370840,3WD10290840,48.98045,48.98047,48.98046,48.98028",2023-08-09T06:21:58.796Z
Cloudnova,https://www.on-running.com/en-ch/products/cloudnova-26/mens/black-flame-shoes-26.98127,2,210.0,"26.99814,26.99822,26.99118,26.99117,26.99116,26.99115,26.99114,26.99113,26.98989,26.98984,26.98982,26.98493,26.98489,26.98494,26.98224,26.98315,26.98227,26.98313,26.98226,26.98225,26.98126,26.98125,26.98124,26.98127",2023-08-09T06:21:31.768Z
THE ROGER Clubhouse,https://www.on-running.com/en-ch/products/the-roger-clubhouse-48clb/mens/hay-shoes-48.98109,2,200.0,"48.99141,48.98336,48.98333,48.98331,48.98109,48.98111",2023-08-09T06:21:32.168Z
Cloud 5 Coast,https://www.on-running.com/en-ch/products/cloud-5-coast-3md1053/mens/undyed-white-white-shoes-3MD10531743,3,200.0,"3MD10531743,3WD10541743,3WD10541077,3MD10531077",2023-08-09T08:20:59.123Z
Cloudultra 2,https://www.on-running.com/en-ch/products/cloudultra-2-3md3028/mens/black-white-shoes-3MD30280299,3,240.0,"3MD30280331,3WD30281483,3MD30280299,3WD30280299,3MD30281483",2023-08-09T08:21:04.329Z
Cloudrunner Waterproof,https://www.on-running.com/en-ch/products/cloudrunner-waterproof-52/mens/stone-black-shoes-52.98076,3,220.0,"52.98637,52.98051,52.98076",2023-08-09T08:21:02.916Z
Cloudwander Waterproof,https://www.on-running.com/en-ch/products/cloudwander-waterproof-73/womens/sand-ivory-shoes-73.98055,3,240.0,"73.98606,73.98602,93.98184,93.98183,73.98278,73.98279,73.98056,73.98055",2023-08-09T08:21:05.345Z
Cloudvista Waterproof,https://www.on-running.com/en-ch/products/cloudvista-waterproof-74/mens/zinc-grape-shoes-74.98058,3,220.0,"74.98571,74.98595,74.98277,74.98275,74.98276,74.98058,74.98057",2023-08-09T08:21:06.233Z
Cloud X 3,https://www.on-running.com/en-ch/products/cloud-x-3-60/mens/hunter-black-shoes-60.98101,3,200.0,"60.98694,60.98691,60.98699,60.98689,60.98696,60.98697,60.98705,60.98706,60.98703,60.98704,60.98252,60.98254,60.98253,60.98255,60.98096,60.98098,60.98097,60.98101,60.98102,60.98099",2023-08-09T08:20:57.746Z
Cloudboom Echo 3,https://www.on-running.com/en-ch/products/cloudboom-echo-3-0-3md1059/mens/undyed-white-mint-shoes-3MD10591105,2,360.0,"3MD10591105,3WD10491105",2023-08-09T08:20:56.103Z
Cloudrunner,https://www.on-running.com/en-ch/products/cloudrunner-46/womens/frost-fade-shoes-46.98078,3,200.0,"46.99017,46.99019,46.99015,46.99016,46.98643,46.98238,46.98199,46.98237,46.98236,46.98078,46.98077,46.98079",2023-08-09T08:21:03.007Z
Cloudswift 3 AD,https://www.on-running.com/en-ch/products/cloudswift-3-ad-3md1024/mens/frost-glacier-shoes-3MD10241421,2,220.0,"3WD10151213,3MD10240485,3WD10150485,3MD10241421,3WD10151424",2023-08-09T08:21:02.408Z
Cloudrock 2 Waterproof,https://www.on-running.com/en-ch/products/cloudrock-2-waterproof-63/mens/almond-dune-shoes-63.98067,2,280.0,"63.98612,63.98613,63.98609,63.98608,63.98281,63.98282,63.98066,63.98067",2023-08-09T08:20:59.842Z
Cloudswift 3,https://www.on-running.com/en-ch/products/cloudswift-3md1056/mens/ivory-black-shoes-3MD10560791,2,220.0,"3MD10560094,3WD10451085,3MD10561195,3MD10561196,3WD10451040,3WD10451199,3WD10451195,3MD10560045,3MD10560485,3WD10450485,3WD10451220,3MD10561220,3MD10560791,3WD10451219",2023-08-09T08:21:04.928Z
Cloudspike 1500m,https://www.on-running.com/en-ch/products/cloudspike-1500m-3md1065/womens/undyed-white-mint-shoes-3WD10561105,2,200.0,"3WD10561105,3MD10651105",2023-08-09T08:21:03.598Z
Cloudspike 10000m,https://www.on-running.com/en-ch/products/cloudspike-10000m-3md1067/mens/undyed-white-mint-shoes-3MD10671105,2,200.0,"3WD10571105,3MD10671105",2023-08-09T08:21:03.499Z
Cloudgo,https://www.on-running.com/en-ch/products/cloudgo-55/mens/hay-sand-shoes-55.98091,3,200.0,"55.98395,55.98625,55.98634,55.98622,55.98635,55.98626,55.98624,55.98631,55.98204,55.98233,55.98232,55.98234,55.98087,55.98088,55.98089,55.98091",2023-08-09T08:20:58.731Z
Cloudtrax,https://www.on-running.com/en-ch/products/cloudtrax-53/womens/midnight-glacier-shoes-53.98064,3,260.0,"53.98589,53.98588,53.98065,53.98064",2023-08-09T08:21:03.887Z
Cloudrunner Wide,https://www.on-running.com/en-ch/products/cloudrunner-wide-56/mens/undyed-white-flame-shoes-56.98037,2,200.0,"56.99012,56.99008,56.98037,56.98036",2023-08-09T08:21:02.596Z
THE ROGER Spin,https://www.on-running.com/en-ch/products/the-roger-spin-3md1147/mens/black-indigo-shoes-3MD11470683,3,190.0,"3MD11471089,3WD11481185,3WD11481089,3MD11470683,3WD11480683,3WD11481090,3MD11471090",2023-08-09T08:20:59.936Z
THE ROGER Centre Court,https://www.on-running.com/en-ch/products/the-roger-centre-court-48cc/mens/white-olive-shoes-3MD30241528,3,260.0,"48.99438,48.99437,3MD30241528,3WD30241188",2023-08-09T08:20:58.167Z
Performance-T Light Distance,https://www.on-running.com/en-ch/products/performance-t-light-distance-1ud1004/unisex/mint-white-apparel-1UD10040069,2,120.0,1UD10040069,2023-08-09T08:21:20.703Z
Cloudalpine Waterproof,https://www.on-running.com/en-ch/products/cloudalpine-waterproof-3md1083/mens/cobalt-limelight-shoes-3MD10831198,3,340.0,"3WD10841198,3MD10831198",2023-08-09T08:19:46.610Z
